Carlos Fuentes;http://dbpedia.org/resource/Panama_City
T. S. Eliot;http://dbpedia.org/resource/St._Louis
Ralph Glaze;http://dbpedia.org/resource/Denver
Pope Gregory I;http://dbpedia.org/resource/Rome
Elliott Smith;http://dbpedia.org/resource/Omaha,_Nebraska
Steve Jobs;http://dbpedia.org/resource/San_Francisco
Susan Sontag;http://dbpedia.org/resource/Manhattan
Vladimir Horowitz;http://dbpedia.org/resource/Berdychiv
Daniel Fernandes;http://dbpedia.org/resource/Edmonton
Jacqueline Kennedy Onassis;http://dbpedia.org/resource/Southampton_(village),_New_York
Franz Beckenbauer;http://dbpedia.org/resource/Munich
Tom Fleming (baseball);http://dbpedia.org/resource/Philadelphia
Hulk;http://dbpedia.org/resource/Campina_Grande
Luiz Felipe Scolari;http://dbpedia.org/resource/Passo_Fundo
Neil Redfearn;http://dbpedia.org/resource/Dewsbury
Micky Adams;http://dbpedia.org/resource/Sheffield
Bruce Grobbelaar;http://dbpedia.org/resource/Durban
James G. Blaine;http://dbpedia.org/resource/West_Brownsville,_Pennsylvania
Lillian Gish;http://dbpedia.org/resource/Springfield,_Ohio
Mihai Ralea;http://dbpedia.org/resource/Huși
John Guidetti;http://dbpedia.org/resource/Stockholm
Ella Fitzgerald;http://dbpedia.org/resource/Newport_News,_Virginia
Jerry Falwell;http://dbpedia.org/resource/Lynchburg,_Virginia
Paul McGee (footballer, born 1954);http://dbpedia.org/resource/Sligo
Warren Spahn;http://dbpedia.org/resource/Buffalo,_New_York
Patrick Kluivert;http://dbpedia.org/resource/Amsterdam
Peter Barnes;http://dbpedia.org/resource/Manchester
Andrew Ornoch;http://dbpedia.org/resource/Warsaw
John Gielgud;http://dbpedia.org/resource/Kensington
Henry Clay;http://dbpedia.org/resource/Hanover_County,_Virginia
Stephen Sunday;http://dbpedia.org/resource/Lagos
Sakis Rouvas;http://dbpedia.org/resource/Corfu
Jorge Campos;http://dbpedia.org/resource/Acapulco
Luca Toni;http://dbpedia.org/resource/Pavullo_nel_Frignano
Helmut Senekowitsch;http://dbpedia.org/resource/Graz
Lucas Barrios;http://dbpedia.org/resource/San_Fernando,_Buenos_Aires
Michael Hector;http://dbpedia.org/resource/East_Ham
William Aitken;http://dbpedia.org/resource/Peterhead
Pop Smith;http://dbpedia.org/resource/Digby,_Nova_Scotia
Rowan Williams;http://dbpedia.org/resource/Swansea
Christy Mathewson;http://dbpedia.org/resource/Factoryville,_Pennsylvania
Douglas Haig, 1st Earl Haig;http://dbpedia.org/resource/Edinburgh
Hugo Almeida;http://dbpedia.org/resource/Figueira_da_Foz
Sun Ra;http://dbpedia.org/resource/Birmingham,_Alabama
George McGovern;http://dbpedia.org/resource/Avon,_South_Dakota
Alejandro Cichero;http://dbpedia.org/resource/Caracas
Harriet Tubman;http://dbpedia.org/resource/Dorchester_County,_Maryland
Diego Lugano;http://dbpedia.org/resource/Canelones,_Uruguay
Levir Culpi;http://dbpedia.org/resource/Curitiba
Marquis de Condorcet;http://dbpedia.org/resource/Ribemont
Souleymane Youla;http://dbpedia.org/resource/Conakry
Wally Schirra;http://dbpedia.org/resource/Hackensack,_New_Jersey
Linus Pauling;http://dbpedia.org/resource/Portland,_Oregon
Leo Bertos;http://dbpedia.org/resource/Wellington
Paul Wright (soccer);http://dbpedia.org/resource/London
Siyabonga Nomvethe;http://dbpedia.org/resource/Durban
Edward Plunkett, 18th Baron of Dunsany;http://dbpedia.org/resource/London
Jeff Agoos;http://dbpedia.org/resource/Geneva
Archibald Wavell, 1st Earl Wavell;http://dbpedia.org/resource/Colchester
Steve Gohouri;http://dbpedia.org/resource/Treichville
Edward Elgar;http://dbpedia.org/resource/Broadheath,_Worcestershire
Calvin Coolidge;http://dbpedia.org/resource/Plymouth_Notch,_Vermont
Hubert Humphrey;http://dbpedia.org/resource/Wallace,_South_Dakota
Janis Joplin;http://dbpedia.org/resource/Port_Arthur,_Texas
Carol Shields;http://dbpedia.org/resource/Oak_Park,_Illinois
John O'Connell (second baseman);http://dbpedia.org/resource/Lawrence,_Massachusetts
Ian Thorpe;http://dbpedia.org/resource/Sydney
Samuel Okunowo;http://dbpedia.org/resource/Ibadan
Orson Welles;http://dbpedia.org/resource/Kenosha,_Wisconsin
Nat King Cole;http://dbpedia.org/resource/Montgomery,_Alabama
Arthur Tedder, 1st Baron Tedder;http://dbpedia.org/resource/Glengoyne_distillery
George Brunet;http://dbpedia.org/resource/Houghton,_Michigan
Javier Mascherano;http://dbpedia.org/resource/San_Lorenzo,_Santa_Fe
Pepe Mel;http://dbpedia.org/resource/Madrid
Chelsea Stewart;http://dbpedia.org/resource/Denver
Paul Newman;http://dbpedia.org/resource/Shaker_Heights,_Ohio
James K. Polk;http://dbpedia.org/resource/Pineville,_North_Carolina
Carlo Ancelotti;http://dbpedia.org/resource/Reggiolo
Bruno Metsu;http://dbpedia.org/resource/Coudekerque-Village
William Ewart Gladstone;http://dbpedia.org/resource/Liverpool
John Burridge;http://dbpedia.org/resource/Workington
Charlie Chaplin;http://dbpedia.org/resource/London
Mihail Sadoveanu;http://dbpedia.org/resource/Pașcani
Rachid Tiberkanine;http://dbpedia.org/resource/Antwerp
Captain Beefheart;http://dbpedia.org/resource/Glendale,_California
Didier Deschamps;http://dbpedia.org/resource/Bayonne
George Q. Cannon;http://dbpedia.org/resource/Liverpool
John Wayne;http://dbpedia.org/resource/Winterset,_Iowa
Maicon Sisenando;http://dbpedia.org/resource/Novo_Hamburgo
Libby Kosmala;http://dbpedia.org/resource/Adelaide
Sixto Peralta;http://dbpedia.org/resource/Comodoro_Rivadavia
Jean Cocteau;http://dbpedia.org/resource/Maisons-Laffitte
Tobias Linderoth;http://dbpedia.org/resource/Marseille
Sri Aurobindo;http://dbpedia.org/resource/Kolkata
Manuel Pellegrini;http://dbpedia.org/resource/Santiago
Tiffeny Milbrett;http://dbpedia.org/resource/Portland,_Oregon
Mircea Rednic;http://dbpedia.org/resource/Hunedoara
Obafemi Martins;http://dbpedia.org/resource/Lagos
Laurence Olivier;http://dbpedia.org/resource/Dorking
Pim Fortuyn;http://dbpedia.org/resource/Driehuis
Walt Disney;http://dbpedia.org/resource/Chicago
Arie Haan;http://dbpedia.org/resource/Finsterwolde
Perpessicius;http://dbpedia.org/resource/Brăila
El Hadji Diouf;http://dbpedia.org/resource/Dakar
Aaron Copland;http://dbpedia.org/resource/Brooklyn
Yakubu Aiyegbeni;http://dbpedia.org/resource/Benin_City
Xavi;http://dbpedia.org/resource/Terrassa
Edwin Morgan (poet);http://dbpedia.org/resource/Glasgow
Nwankwo Kanu;http://dbpedia.org/resource/Owerri
Eric Wynalda;http://dbpedia.org/resource/Fullerton,_California
John Henry Newman;http://dbpedia.org/resource/London
George S. Patton;http://dbpedia.org/resource/San_Gabriel,_California
Gala Galaction;http://dbpedia.org/resource/Didești
Sesto Pals;http://dbpedia.org/resource/Odessa
Benny Feilhaber;http://dbpedia.org/resource/Rio_de_Janeiro
Didier Drogba;http://dbpedia.org/resource/Abidjan
Bernardo Vasconcelos;http://dbpedia.org/resource/Lisbon
Margaret Thatcher;http://dbpedia.org/resource/Grantham
Marvin Gaye;http://dbpedia.org/resource/Washington,_D.C.
Euzebiusz Smolarek;http://dbpedia.org/resource/Łódź
Moses Ashikodi;http://dbpedia.org/resource/Lagos
Rainier III, Prince of Monaco;http://dbpedia.org/resource/Monte_Carlo
Dean Holdsworth;http://dbpedia.org/resource/Walthamstow
Carl Medjani;http://dbpedia.org/resource/Lyon
Camille Paglia;http://dbpedia.org/resource/Endicott,_New_York
Tiago Costa;http://dbpedia.org/resource/Lisbon
Jovan Kirovski;http://dbpedia.org/resource/Escondido,_California
Dwight D. Eisenhower;http://dbpedia.org/resource/Denison,_Texas
Gus Poyet;http://dbpedia.org/resource/Montevideo
Derek Boateng;http://dbpedia.org/resource/Accra
Nolberto Solano;http://dbpedia.org/resource/Callao
Teitur Thordarson;http://dbpedia.org/resource/Akranes
Richard Pryor;http://dbpedia.org/resource/Peoria,_Illinois
Karim Ziani;http://dbpedia.org/resource/Sèvres
Mysterious Walker;http://dbpedia.org/resource/Utica,_Nebraska
Michael Bradley (soccer);http://dbpedia.org/resource/Princeton,_New_Jersey
Aldous Huxley;http://dbpedia.org/resource/Godalming
Kurt Cobain;http://dbpedia.org/resource/Aberdeen,_Washington
Henric Streitman;http://dbpedia.org/resource/Piatra_Neamț
Jorge Solari;http://dbpedia.org/resource/Buenos_Aires
Brad Guzan;http://dbpedia.org/resource/Evergreen_Park,_Illinois
Ricardo Esteves;http://dbpedia.org/resource/Lisbon
Spencer Cavendish, 8th Duke of Devonshire;http://dbpedia.org/resource/Cannes
Gennaro Gattuso;http://dbpedia.org/resource/Corigliano_Calabro
Con Lucid;http://dbpedia.org/resource/Dublin
Johan Cruyff;http://dbpedia.org/resource/Amsterdam
Robert de Pinho de Souza;http://dbpedia.org/resource/Salvador,_Bahia
Christian Wilhelmsson;http://dbpedia.org/resource/Malmö
Ruud Krol;http://dbpedia.org/resource/Amsterdam
John Denver;http://dbpedia.org/resource/Roswell,_New_Mexico
Park Chu-young;http://dbpedia.org/resource/Daegu
Hugh Trenchard, 1st Viscount Trenchard;http://dbpedia.org/resource/Taunton
Sol Bamba;http://dbpedia.org/resource/Ivry-sur-Seine
Danny Califf;http://dbpedia.org/resource/Montclair,_California
Ray Charles;http://dbpedia.org/resource/Albany,_Georgia
Murray Jones;http://dbpedia.org/resource/Bexley
Harry S. Truman;http://dbpedia.org/resource/Lamar,_Missouri
John Coltrane;http://dbpedia.org/resource/Hamlet,_North_Carolina
Tab Ramos;http://dbpedia.org/resource/Montevideo
Fabricio Coloccini;http://dbpedia.org/resource/Córdoba,_Argentina
Tony Battersby;http://dbpedia.org/resource/Doncaster
Daisuke Matsui;http://dbpedia.org/resource/Kyoto
Frankie Hejduk;http://dbpedia.org/resource/La_Mesa,_California
Dean Martin;http://dbpedia.org/resource/Steubenville,_Ohio
Henry Gutierrez;http://dbpedia.org/resource/Hoboken,_New_Jersey
Richard Pacquette;http://dbpedia.org/resource/Kilburn,_London
Derek Dougan;http://dbpedia.org/resource/Belfast
Benjamin Britten;http://dbpedia.org/resource/Lowestoft
John Tyler;http://dbpedia.org/resource/Charles_City_County,_Virginia
Jefferson Louis;http://dbpedia.org/resource/Harrow,_London
Ricardo Gomes;http://dbpedia.org/resource/Rio_de_Janeiro
Claudio Ranieri;http://dbpedia.org/resource/Rome
Nell Carter;http://dbpedia.org/resource/Birmingham,_Alabama
Walter Scott;http://dbpedia.org/resource/Edinburgh
Ellis Remy;http://dbpedia.org/resource/Hastings
